Question Number,Question
1,The education materials provided by Bluejack University is up to date and promises a great potential for my future.
2,The lecturers of Bluejack University are masters of the corresponding courses taught to me.
3,Bluejack University provides advanced facilities which contributes to my learning process.
4,"The staffs of Bluejack University are polite, respectful, and welcoming."
5,I am satisfied with the overall education quality Bluejack University provides.
6,The sanitation facility of Bluejack University is well maintained and hygienic.
7,The environment of Bluejack University is education-friendly and healthy.
8,I am well informed of lecture schedules and other important informations.
9,"Bluejack University's website, BluejackMaya is well-developed and well-maintained."
10,"BluejackMaya is user friendly, and is very easy to operate for non-technological individuals."
